RUN	viade_es5b.PruebaAñadirAmigo	pruebaan-adiramigo	1587660754745	 	3.3.1
REQUEST	20		PruebaAñadirAmigo_6	1587660780139	1587660780173	OK	 
REQUEST	20		PruebaAñadirAmigo_7	1587660780174	1587660780177	OK	 
REQUEST	10		PruebaAñadirAmigo_8	1587660780195	1587660780247	OK	 
REQUEST	10		PruebaAñadirAmigo_9	1587660780248	1587660780257	OK	 
REQUEST	10		PruebaAñadirAmigo_10	1587660780258	1587660780263	OK	 
REQUEST	2		PruebaAñadirAmigo_12	1587660780361	1587660780374	OK	 
REQUEST	2		PruebaAñadirAmigo_13	1587660780374	1587660780411	OK	 
REQUEST	10		PruebaAñadirAmigo_11	1587660780382	1587660780445	OK	 
REQUEST	2		PruebaAñadirAmigo_14	1587660780412	1587660780450	OK	 
REQUEST	2		PruebaAñadirAmigo_15	1587660780652	1587660780704	OK	 
USER	PruebaAñadirAmigo	21	START	1587660780863	1587660780863
REQUEST	21		PruebaAñadirAmigo_0	1587660780866	1587660780910	OK	 
REQUEST	21		PruebaAñadirAmigo_1	1587660780910	1587660780917	OK	 
REQUEST	21		PruebaAñadirAmigo_2	1587660780918	1587660780922	OK	 
REQUEST	21		PruebaAñadirAmigo_3	1587660781082	1587660781113	OK	 
REQUEST	3		PruebaAñadirAmigo_12	1587660781385	1587660781392	OK	 
REQUEST	3		PruebaAñadirAmigo_13	1587660781392	1587660781424	OK	 
REQUEST	3		PruebaAñadirAmigo_14	1587660781424	1587660781428	OK	 
REQUEST	3		PruebaAñadirAmigo_15	1587660781611	1587660781643	OK	 
USER	PruebaAñadirAmigo	22	START	1587660781861	1587660781861
REQUEST	22		PruebaAñadirAmigo_0	1587660781862	1587660781916	OK	 
REQUEST	22		PruebaAñadirAmigo_1	1587660781917	1587660781926	OK	 
REQUEST	22		PruebaAñadirAmigo_2	1587660781927	1587660781933	OK	 
REQUEST	22		PruebaAñadirAmigo_3	1587660782095	1587660782129	OK	 
REQUEST	21		PruebaAñadirAmigo_4	1587660782116	1587660782131	OK	 
REQUEST	21		PruebaAñadirAmigo_5	1587660782132	1587660782139	OK	 
REQUEST	21		PruebaAñadirAmigo_6	1587660782141	1587660782178	OK	 
REQUEST	11		PruebaAñadirAmigo_8	1587660782163	1587660782206	OK	 
REQUEST	21		PruebaAñadirAmigo_7	1587660782179	1587660782207	OK	 
REQUEST	11		PruebaAñadirAmigo_9	1587660782207	1587660782210	OK	 
REQUEST	11		PruebaAñadirAmigo_10	1587660782210	1587660782215	OK	 
REQUEST	11		PruebaAñadirAmigo_11	1587660782346	1587660782382	OK	 
REQUEST	4		PruebaAñadirAmigo_12	1587660782371	1587660782386	OK	 
REQUEST	4		PruebaAñadirAmigo_13	1587660782387	1587660782420	OK	 
REQUEST	4		PruebaAñadirAmigo_14	1587660782421	1587660782424	OK	 
REQUEST	4		PruebaAñadirAmigo_15	1587660782621	1587660782651	OK	 
USER	PruebaAñadirAmigo	23	START	1587660782862	1587660782862
REQUEST	23		PruebaAñadirAmigo_0	1587660782863	1587660782905	OK	 
REQUEST	23		PruebaAñadirAmigo_1	1587660782906	1587660782909	OK	 
REQUEST	23		PruebaAñadirAmigo_2	1587660782910	1587660782915	OK	 
REQUEST	23		PruebaAñadirAmigo_3	1587660783082	1587660783113	OK	 
REQUEST	22		PruebaAñadirAmigo_4	1587660783124	1587660783127	OK	 
REQUEST	22		PruebaAñadirAmigo_5	1587660783128	1587660783131	OK	 
REQUEST	22		PruebaAñadirAmigo_6	1587660783133	1587660783171	OK	 
REQUEST	12		PruebaAñadirAmigo_8	1587660783166	1587660783204	OK	 
REQUEST	22		PruebaAñadirAmigo_7	1587660783172	1587660783206	OK	 
REQUEST	12		PruebaAñadirAmigo_9	1587660783205	1587660783209	OK	 
REQUEST	12		PruebaAñadirAmigo_10	1587660783210	1587660783215	OK	 
REQUEST	12		PruebaAñadirAmigo_11	1587660783334	1587660783371	OK	 
REQUEST	5		PruebaAñadirAmigo_12	1587660783385	1587660783391	OK	 
REQUEST	5		PruebaAñadirAmigo_13	1587660783392	1587660783425	OK	 
REQUEST	5		PruebaAñadirAmigo_14	1587660783426	1587660783432	OK	 
REQUEST	5		PruebaAñadirAmigo_15	1587660783625	1587660783658	OK	 
USER	PruebaAñadirAmigo	24	START	1587660783864	1587660783864
REQUEST	24		PruebaAñadirAmigo_0	1587660783866	1587660783923	OK	 
REQUEST	24		PruebaAñadirAmigo_1	1587660783924	1587660783931	OK	 
REQUEST	24		PruebaAñadirAmigo_2	1587660783933	1587660783948	OK	 
REQUEST	24		PruebaAñadirAmigo_3	1587660784115	1587660784151	OK	 
REQUEST	23		PruebaAñadirAmigo_4	1587660784115	1587660784152	OK	 
REQUEST	23		PruebaAñadirAmigo_5	1587660784153	1587660784158	OK	 
REQUEST	13		PruebaAñadirAmigo_8	1587660784152	1587660784194	OK	 
REQUEST	23		PruebaAñadirAmigo_6	1587660784158	1587660784223	OK	 
REQUEST	13		PruebaAñadirAmigo_9	1587660784194	1587660784224	OK	 
REQUEST	23		PruebaAñadirAmigo_7	1587660784224	1587660784228	OK	 
REQUEST	13		PruebaAñadirAmigo_10	1587660784225	1587660784229	OK	 
REQUEST	13		PruebaAñadirAmigo_11	1587660784356	1587660784392	OK	 
USER	PruebaAñadirAmigo	25	START	1587660784847	1587660784847
REQUEST	25		PruebaAñadirAmigo_0	1587660784848	1587660784890	OK	 
REQUEST	25		PruebaAñadirAmigo_1	1587660784890	1587660784893	OK	 
REQUEST	25		PruebaAñadirAmigo_2	1587660784894	1587660784899	OK	 
REQUEST	25		PruebaAñadirAmigo_3	1587660785065	1587660785110	OK	 
REQUEST	24		PruebaAñadirAmigo_4	1587660785144	1587660785150	OK	 
REQUEST	24		PruebaAñadirAmigo_5	1587660785151	1587660785155	OK	 
REQUEST	24		PruebaAñadirAmigo_6	1587660785155	1587660785190	OK	 
REQUEST	14		PruebaAñadirAmigo_8	1587660785185	1587660785237	OK	 
REQUEST	24		PruebaAñadirAmigo_7	1587660785191	1587660785239	OK	 
REQUEST	14		PruebaAñadirAmigo_9	1587660785237	1587660785243	OK	 
REQUEST	14		PruebaAñadirAmigo_10	1587660785244	1587660785257	OK	 
REQUEST	14		PruebaAñadirAmigo_11	1587660785374	1587660785412	OK	 
